time 0.50, 29.687500% cpu usage
time 1.00, 17.187500% cpu usage
time 1.50, 7.812500% cpu usage
time 2.00, 4.687500% cpu usage
time 2.50, 6.250000% cpu usage
time 3.00, 7.031250% cpu usage
time 3.50, 4.687500% cpu usage
time 4.00, 4.687500% cpu usage
time 4.50, 4.687500% cpu usage
time 5.01, 6.250000% cpu usage
time 5.51, 3.906250% cpu usage
time 6.01, 2.343750% cpu usage
time 6.51, 6.250000% cpu usage
time 7.01, 3.906250% cpu usage
time 7.51, 5.468750% cpu usage
time 8.01, 7.031250% cpu usage
time 8.51, 6.250000% cpu usage
time 9.01, 6.250000% cpu usage
time 9.51, 4.687500% cpu usage
time 10.01, 3.906250% cpu usage
time 10.51, 4.615385% cpu usage
time 11.02, 8.527132% cpu usage
time 11.52, 7.086614% cpu usage
time 12.05, 6.870229% cpu usage
time 12.55, 8.148148% cpu usage
time 13.05, 6.250000% cpu usage
time 13.55, 7.812500% cpu usage
time 14.05, 8.593750% cpu usage
time 14.55, 4.687500% cpu usage
time 15.05, 4.687500% cpu usage
time 15.55, 4.687500% cpu usage
time 16.05, 8.593750% cpu usage
time 16.55, 3.125000% cpu usage
time 17.05, 3.906250% cpu usage
time 17.55, 7.812500% cpu usage
time 18.05, 6.250000% cpu usage
time 18.55, 7.031250% cpu usage
time 19.06, 5.468750% cpu usage
time 19.56, 10.156250% cpu usage
time 20.06, 6.250000% cpu usage
time 20.56, 7.031250% cpu usage
time 21.06, 3.906250% cpu usage
time 21.56, 6.250000% cpu usage
time 22.06, 7.031250% cpu usage
time 22.56, 3.053435% cpu usage
time 23.06, 6.299213% cpu usage
time 23.56, 5.384615% cpu usage
time 24.06, 6.250000% cpu usage
time 24.56, 7.031250% cpu usage
time 25.06, 6.250000% cpu usage
time 25.56, 6.250000% cpu usage
time 26.07, 6.250000% cpu usage
time 26.57, 6.250000% cpu usage
time 27.07, 4.687500% cpu usage
time 27.57, 5.468750% cpu usage
time 28.07, 6.250000% cpu usage
time 28.57, 4.687500% cpu usage
time 29.07, 6.250000% cpu usage
time 29.57, 5.468750% cpu usage
time 30.07, 5.468750% cpu usage
time 30.57, 7.031250% cpu usage
time 31.07, 7.031250% cpu usage
time 31.57, 4.687500% cpu usage
time 32.07, 7.031250% cpu usage
time 32.58, 5.468750% cpu usage
time 33.08, 7.812500% cpu usage
time 33.58, 6.250000% cpu usage
time 34.08, 6.250000% cpu usage
time 34.58, 6.201550% cpu usage
time 35.08, 7.633588% cpu usage
time 35.58, 7.031250% cpu usage
time 36.08, 9.375000% cpu usage
time 36.58, 4.687500% cpu usage
time 37.08, 5.468750% cpu usage
time 37.58, 6.250000% cpu usage
time 38.08, 3.906250% cpu usage
time 38.59, 6.250000% cpu usage
time 39.09, 9.375000% cpu usage
time 39.59, 6.250000% cpu usage
time 40.09, 5.468750% cpu usage
time 40.59, 7.031250% cpu usage
time 41.09, 4.687500% cpu usage
time 41.59, 7.031250% cpu usage
time 42.09, 7.812500% cpu usage
time 42.59, 8.593750% cpu usage
time 43.09, 5.468750% cpu usage
time 43.59, 8.593750% cpu usage
time 44.09, 6.153846% cpu usage
time 44.59, 7.751938% cpu usage
time 45.09, 5.555556% cpu usage
time 45.59, 6.870229% cpu usage
time 46.10, 7.031250% cpu usage
time 46.60, 6.250000% cpu usage
time 47.10, 6.250000% cpu usage
time 47.60, 5.468750% cpu usage
time 48.10, 7.031250% cpu usage
time 48.60, 5.468750% cpu usage
time 49.10, 6.250000% cpu usage
time 49.60, 7.031250% cpu usage
time 50.10, 6.250000% cpu usage
time 50.60, 6.250000% cpu usage
time 51.10, 6.250000% cpu usage
time 51.60, 7.812500% cpu usage
time 52.10, 7.812500% cpu usage
time 52.60, 6.250000% cpu usage
time 53.10, 7.031250% cpu usage
time 53.61, 7.812500% cpu usage
time 54.11, 9.375000% cpu usage
time 54.61, 7.031250% cpu usage
time 55.11, 7.031250% cpu usage
time 55.61, 7.031250% cpu usage
time 56.11, 6.250000% cpu usage
time 56.61, 5.468750% cpu usage
time 57.11, 6.201550% cpu usage
